workflow,subject_id,label,rationale
author,A. A. Chowdhury||A. Chowdhury,,
author,i da silva||i silva,,
author,A. A. Chowdhury||A.A. Chowdhury,,
author,l a. pereira||l pereira,,
author,"A. A. Chowdhury||Chowdhury, A.A.",,
author,n knak neto||n neto,,
author,A. Chowdhury||A.A. Chowdhury,,
author,a abaide||a da rosa abaide,,
author,"A. Chowdhury||Chowdhury, A.A.",,
author,m abdirahman ali||m ali,,
author,"A.A. Chowdhury||Chowdhury, A.A.",,
author,a bin humayd||a humayd,,
author,A. A. Mohamed||Abdel-Raheem Mohamed,,
author,a angelo de souza||a de souza,,
author,A. A. Mohamed||Ahmed A. Mohamed,,
author,a angelo de souza||a souza,,
author,A. A. Mohamed||Ali Wagdy Mohamed,,
author,a de souza||a souza,,
author,"A. A. Mohamed||Mohamed, Amr",,
author,j arita torres||j torres,,
author,Abdel-Raheem Mohamed||Ahmed A. Mohamed,,
author,p asano||p leite asano,,
author,Abdel-Raheem Mohamed||Ali Wagdy Mohamed,,
author,b j||s b j,,
author,"Abdel-Raheem Mohamed||Mohamed, Amr",,
author,c barioni de oliveira||c de oliveira,,
author,Ahmed A. Mohamed||Ali Wagdy Mohamed,,
author,c barioni de oliveira||c oliveira,,
author,"Ahmed A. Mohamed||Mohamed, Amr",,
author,c de oliveira||c oliveira,,
author,"Ali Wagdy Mohamed||Mohamed, Amr",,
author,m de oliveira||m oliveira,,
author,A. A. Sallam||Ahmed M. Sallam,,
author,c domingo||c mateo domingo,,
author,"A. Abbaspour-Tehrani-fard||Abbaspour-Tehrani-fard, A.",,
author,h barros||h de barros,,
author,"A. Abeygunawardana||Abeygunawardana, A.M. Anula K.",,
author,p de oliveira-de jesus||p jesus,,
author,A. Abusorrah||Abdullah Abusorrah,,
author,e cesena||e martinez cesena,,
