workflow,subject_id,label,rationale
pdf,10.1002/9781119509332.ch3::data/.lake_research_map/objects/ae/ae97ce4bde6d0145bebe49bfe07c85bc7470f0fdc67686e37c9762e02274609a,,
pdf,10.1016/j.solener.2015.10.052::data/.lake_research_map/objects/76/76427d90547f5cb51c459257b198deb64095d036ff8f82dc0850efbe2018e19a,,
pdf,10.1109/59.486711::data/.lake_research_map/objects/a8/a893cb9899a554e72088cb05fbb4838e90a172c9a015952ca6523bdb9599a536,,
pdf,10.1109/59.496137::data/.lake_research_map/objects/33/331e7459e21bcb7f462038ca2e58b3ed189b57f40b53c182077f9f5c72c57ce5,,
pdf,10.1109/59.589811::data/.lake_research_map/objects/97/97a6aa3957d66dc983826c360979fd294bbf5d48e19be9e11f60c22d2022e434,,
pdf,10.1109/ee.1955.6439555::data/.lake_research_map/objects/fd/fdfb3810d34f857e15444972aec5216585c059d019ed0f290e379003e37fb698,,
pdf,10.1109/jaiee.1926.6534743::data/.lake_research_map/objects/95/956eb39a2fd2efb320c61efad0f8d3a1bcab439b410c6b32c6a8c9539502b9d0,,
pdf,10.1109/tpwrd.2011.2167990::data/.lake_research_map/objects/e2/e2a1e428f5c00fa4dd681a5cd65359af65439d07b3bde9d847b3c46ed83221ab,,
pdf,10.1109/tpwrd.2014.2325938::data/.lake_research_map/objects/1a/1a090e7a26cf78cead18ca49220b2598a817e07b12ab821e4ae7ee7557a2105a,,
pdf,10.1109/tpwrs.2003.821440::data/.lake_research_map/objects/58/588544b068a6489327c16f691d7797563210d43310667eaeeee1017ed9e6c9bf,,
pdf,10.1109/tsg.2014.2355494::data/.lake_research_map/objects/fa/fafde85d2a9f4a92b1f76fde24513f2dd3691f9b6f02a6428887d4df5ff03202,,
pdf,10.1109/tsg.2015.2456834::data/.lake_research_map/objects/5e/5ea4b679886481701ea8b66e4e0522823f2a202107d23595a6f1965ce3a6d7fe,,
pdf,10.1109/tsg.2019.2926572::data/.lake_research_map/objects/42/42b8ae70e1ed72fc15ec927f892099174ac9961b704f4f217961ce22f3ad5e20,,
pdf,10.1109/tsg.2022.3166194::data/.lake_research_map/objects/e9/e9b40770acad566e7b18e3b83be871505d5fef72baf94e13d2296f0739cebb73,,
pdf,10.17775/cseejpes.2023.03930::data/.lake_research_map/objects/2c/2c6998186dbb6e41c0b84b41dfad3cd5ac2d14d0ea4eb745685dab9dd4b8a548,,
pdf,10.17775/cseejpes.2023.04340::data/.lake_research_map/objects/a8/a8ad74a7f2e7f9795f517cfc52d471c45d5cbbcb85da2d1c6d1ba0735ea61f09,,
