workflow,subject_id,label,rationale
retrieval,q01::10.1016/j.est.2026.121555,,
retrieval,q01::10.1016/j.ijepes.2014.10.047,,
retrieval,q01::10.1016/j.rser.2015.12.099,,
retrieval,q01::10.1109/access.2024.3492119,,
retrieval,q01::10.1109/greentech.2016.29,,
retrieval,q01::10.1109/psc.2014.6808097,,
retrieval,q01::10.1109/secon.2012.6196992,,
retrieval,q01::10.1109/sest50973.2021.9543204,,
retrieval,q01::10.1109/tdcla.2006.311571,,
retrieval,q01::10.1109/tia.2023.3234233,,
retrieval,q02::10.1016/j.apenergy.2019.01.211,,
retrieval,q02::10.1016/j.compeleceng.2026.111168,,
retrieval,q02::10.1016/j.ijepes.2011.10.031,,
retrieval,q02::10.1016/j.ijepes.2015.03.010,,
retrieval,q02::10.1016/j.ijepes.2015.05.024,,
retrieval,q02::10.1016/j.rser.2024.114808,,
retrieval,q02::10.1049/icp.2024.1971,,
retrieval,q02::10.1109/ieecon.2017.8075739,,
retrieval,q02::10.1109/pecon.2016.7951542,,
retrieval,q02::10.1109/tpwrs.2015.2503604,,
retrieval,q03::10.1016/0142-0615(92)90022-2,,
retrieval,q03::10.1016/j.asoc.2012.07.003,,
retrieval,q03::10.1016/s0378-7796(99)00086-3,,
retrieval,q03::10.1109/ei250167.2020.9347204,,
retrieval,q03::10.1109/eurcon.2003.1248192,,
retrieval,q03::10.1109/tia.2025.3534163,,
retrieval,q03::10.1109/tpwrs.2020.3015061,,
retrieval,q03::10.1109/tsg.2012.2200703,,
retrieval,q03::10.17775/cseejpes.2020.05660,,
retrieval,q04::10.1016/j.epsr.2012.12.009,,
retrieval,q04::10.1016/j.epsr.2013.11.015,,
retrieval,q04::10.1016/j.ijepes.2014.04.048,,
retrieval,q04::10.1016/j.ijepes.2021.107916,,
retrieval,q04::10.1109/ceepe58418.2023.10166049,,
retrieval,q04::10.1109/drpt.2015.7432303,,
retrieval,q04::10.1109/epdc.2019.8903843,,
retrieval,q04::10.1109/mepcon63025.2024.10850444,,
retrieval,q04::10.1109/tdc-la.2014.6955275,,
retrieval,q04::10.1109/tpwrd.2011.2167990,,
retrieval,q05::10.1016/b978-0-12-812154-2.00022-5,,
retrieval,q05::10.1016/j.adapen.2023.100147,,
retrieval,q05::10.1016/j.apenergy.2026.127517,,
retrieval,q05::10.1109/cieec50170.2021.9510529,,
retrieval,q05::10.1109/epec.2016.7771783,,
retrieval,q05::10.1109/ever.2013.6521542,,
retrieval,q05::10.1109/isgt-la56058.2023.10328284,,
retrieval,q05::10.1109/oajpe.2025.3645250,,
retrieval,q05::10.1109/sest53650.2022.9898149,,
retrieval,q05::10.1109/tia.2025.3600209,,
retrieval,q06::10.1016/j.clet.2024.100808,,
retrieval,q06::10.1016/j.energy.2023.130198,,
retrieval,q06::10.1016/j.epsr.2023.110009,,
retrieval,q06::10.1016/j.ifacol.2019.08.249,,
retrieval,q06::10.1016/j.rser.2016.08.011,,
retrieval,q06::10.1016/j.swevo.2011.05.004,,
retrieval,q06::10.1109/icpeices.2016.7853326,,
retrieval,q06::10.1109/pesgm.2015.7286576,,
retrieval,q06::10.1109/upec.2007.4468967,,
retrieval,q06::10.1109/wcica.2004.1343684,,
retrieval,q07::10.1016/j.apenergy.2020.115520,,
retrieval,q07::10.1016/j.apenergy.2022.119253,,
retrieval,q07::10.1016/j.egypro.2011.10.125,,
retrieval,q07::10.1016/j.energy.2021.120461,,
retrieval,q07::10.1016/j.ijepes.2015.07.029,,
retrieval,q07::10.1016/j.ijepes.2025.111214,,
retrieval,q07::10.1109/appeec61255.2024.10922470,,
retrieval,q07::10.1109/icpset70907.2026.11688878,,
retrieval,q07::10.1109/isgt.2012.6175665,,
retrieval,q07::10.1109/jsyst.2021.3099439,,
retrieval,q08::10.1016/0140-6701(00)95088-4,,
retrieval,q08::10.1016/j.compeleceng.2020.106823,,
retrieval,q08::10.1016/j.energy.2010.04.022,,
retrieval,q08::10.1016/j.epsr.2016.08.016,,
retrieval,q08::10.1016/j.ijepes.2013.11.014,,
retrieval,q08::10.1109/access.2020.2973455,,
retrieval,q08::10.1109/access.2025.3650636,,
retrieval,q08::10.1109/energycon.2010.5771765,,
retrieval,q08::10.1109/isap.2015.7325570,,
retrieval,q08::10.1109/isgteurope.2013.6695399,,
retrieval,q09::10.1016/j.egyr.2022.02.245,,
retrieval,q09::10.1016/j.epsr.2025.112027,,
retrieval,q09::10.1016/j.ijepes.2021.107860,,
retrieval,q09::10.1016/j.ijepes.2024.109976,,
retrieval,q09::10.1109/pesgm52003.2023.10253260,,
retrieval,q09::10.1109/tpwrs.2024.3418651,,
retrieval,q09::10.1109/tste.2022.3220561,,
retrieval,q09::10.1109/tste.2023.3234916,,
retrieval,q10::10.1016/j.apenergy.2020.115720,,
retrieval,q10::10.1016/j.energy.2021.120367,,
retrieval,q10::10.1016/j.epsr.2019.02.013,,
retrieval,q10::10.1109/appeec48164.2020.9220424,,
retrieval,q10::10.1109/iccepe62686.2024.10931489,,
retrieval,q10::10.1109/powertech46648.2021.9495043,,
retrieval,q10::10.1109/sest48500.2020.9203563,,
retrieval,q10::10.1109/tpwrs.2015.2503604,,
retrieval,q10::10.17775/cseejpes.2026.01200,,
