workflow,subject_id,label,rationale
taxonomy,Conical / Convex Relaxation (SOCP)::10.1016/j.apenergy.2017.07.004,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1016/j.apenergy.2023.120933,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1016/j.apenergy.2026.128045,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1016/j.energy.2020.119417,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1016/j.epsr.2020.106894,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1016/j.ijepes.2018.09.032,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1016/j.ijepes.2026.112077,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1109/icpsasia55496.2022.9949645,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1109/nesp70395.2026.11622134,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1109/tpwrd.2023.3277089,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1109/tpwrs.2018.2792938,,
taxonomy,Conical / Convex Relaxation (SOCP)::10.1109/tpwrs.2022.3165169,,
taxonomy,Genetic Algorithms (GA)::10.1016/j.egyr.2025.07.012,,
taxonomy,Genetic Algorithms (GA)::10.1016/j.epsr.2012.02.018,,
taxonomy,Genetic Algorithms (GA)::10.1016/j.ref.2019.04.001,,
taxonomy,Genetic Algorithms (GA)::10.1016/j.ress.2026.112963,,
taxonomy,Genetic Algorithms (GA)::10.1016/j.rser.2016.08.027,,
taxonomy,Genetic Algorithms (GA)::10.1108/mrr-04-2020-0203,,
taxonomy,Genetic Algorithms (GA)::10.1109/iihc55949.2022.10059810,,
taxonomy,Genetic Algorithms (GA)::10.1109/ptc.2011.6019258,,
taxonomy,Genetic Algorithms (GA)::10.1109/tpec67884.2026.11513124,,
taxonomy,Genetic Algorithms (GA)::10.1109/tpwrd.2012.2194744,,
taxonomy,Genetic Algorithms (GA)::10.1109/tpwrs.2018.2846407,,
taxonomy,Genetic Algorithms (GA)::10.35833/mpce.2020.000930,,
taxonomy,Machine Learning & AI::10.1016/j.egypro.2011.10.003,,
taxonomy,Machine Learning & AI::10.1016/j.epsr.2023.109415,,
taxonomy,Machine Learning & AI::10.1016/j.heliyon.2024.e34800,,
taxonomy,Machine Learning & AI::10.1016/j.ijpe.2025.109743,,
taxonomy,Machine Learning & AI::10.1016/j.neucom.2018.09.039,,
taxonomy,Machine Learning & AI::10.1049/cp:20010893,,
taxonomy,Machine Learning & AI::10.1109/ei259745.2023.10512869,,
taxonomy,Machine Learning & AI::10.1109/pepsc58749.2023.10395311,,
taxonomy,Machine Learning & AI::10.1109/pesgm46819.2021.9638213,,
taxonomy,Machine Learning & AI::10.1109/ptc.2011.6019258,,
taxonomy,Machine Learning & AI::10.1109/sges70879.2026.11662783,,
taxonomy,Machine Learning & AI::10.1109/tce.2026.3718396,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1016/j.compeleceng.2026.111168,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1016/j.cor.2025.107248,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1016/j.ecmx.2024.100620,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1016/j.ijepes.2025.110989,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1016/j.ijepes.2026.112114,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1016/j.segan.2026.102197,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1109/aeees64634.2025.11020189,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1109/ei250167.2020.9347204,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1109/epdc.2019.8903843,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1109/ptc.2017.7980959,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1109/sest50973.2021.9543121,,
taxonomy,Mixed-Integer Linear Programming (MILP)::10.1109/tsg.2024.3471783,,
taxonomy,Multi-objective Optimization::10.1016/j.asej.2026.104352,,
taxonomy,Multi-objective Optimization::10.1016/j.desal.2017.09.009,,
taxonomy,Multi-objective Optimization::10.1016/j.engappai.2011.02.007,,
taxonomy,Multi-objective Optimization::10.1016/j.epsr.2008.08.004,,
taxonomy,Multi-objective Optimization::10.1016/j.epsr.2022.109024,,
taxonomy,Multi-objective Optimization::10.1109/icpset66018.2025.11159777,,
taxonomy,Multi-objective Optimization::10.1109/ipaps69408.2026.11499589,,
taxonomy,Multi-objective Optimization::10.1109/isgt-asia.2019.8881431,,
taxonomy,Multi-objective Optimization::10.1109/itnec.2017.8284864,,
taxonomy,Multi-objective Optimization::10.1109/tla.2024.10669252,,
